account_id,company_name,industry,customer_segment,contract_type,payment_method,tenure_months,monthly_charges,total_charges,contract_licenses,active_users,support_tickets_30d,sla_breaches_90d,nps_score,last_login_days_ago,feature_usage_score,executive_sponsor_present,discount_percentage,paperless_billing,auto_renewal,churn
AC-1029,Crest Solutions,Enterprise Tech,Mid-Market,Month-to-Month,Credit Card,63,1178.86,76085.08,61,33,4,0,9,3,42.9,1,5,1,0,0
AC-1030,Titan Health,Enterprise Tech,Enterprise,Month-to-Month,Credit Card,18,2377.45,43898.08,102,101,4,1,7,6,100.0,1,0,1,1,0
AC-1031,Titan Labs,E-Commerce,SMB,1-Year Fixed,Credit Card,17,245.1,4374.13,18,11,1,2,10,3,42.2,1,5,0,1,0
AC-1032,Vortex Corp,Logistics,Mid-Market,1-Year Fixed,Auto-Invoice,39,1618.79,65658.31,72,65,4,0,5,0,80.3,1,10,1,1,0
AC-1033,Crest Data,E-Commerce,SMB,1-Year Fixed,Auto-Invoice,71,568.85,42109.14,19,9,7,2,6,10,50.4,1,5,1,1,0
AC-1034,Synergy Data,Healthcare,SMB,Month-to-Month,Auto-Invoice,54,702.51,39066.79,7,5,4,0,7,0,30.8,1,0,1,1,0
AC-1035,Zenith Capital,Enterprise Tech,SMB,1-Year Fixed,Manual Wire,35,310.14,10980.28,5,5,3,0,6,3,61.3,1,0,1,0,1
AC-1036,Velocity Global,Professional Services,Mid-Market,Month-to-Month,Credit Card,11,1211.97,12836.46,39,38,1,0,7,5,84.2,1,5,1,1,0
AC-1037,Solstice Systems,Logistics,Enterprise,Month-to-Month,Credit Card,61,3448.03,212902.44,126,98,4,1,8,7,46.0,1,0,0,1,1
AC-1038,Starlight Solutions,Financial Services,Mid-Market,1-Year Fixed,Auto-Invoice,44,1394.48,58632.59,28,24,3,0,8,3,78.4,0,20,1,0,0
AC-1039,Quantum Corp,Professional Services,Mid-Market,2-Year Fixed,Auto-Invoice,68,1931.0,136367.29,59,25,2,0,10,8,81.7,1,0,1,0,0
AC-1040,Vortex Technologies,E-Commerce,Mid-Market,2-Year Fixed,ACH Direct Debit,25,1436.91,35857.45,53,43,5,1,4,0,45.1,0,5,0,0,1
AC-1041,Hyperion Logistics,Healthcare,Enterprise,1-Year Fixed,Credit Card,48,2131.93,104353.43,67,49,3,1,8,6,63.9,1,10,1,0,0
AC-1042,Starlight Technologies,E-Commerce,Enterprise,Month-to-Month,Credit Card,32,2052.09,62726.6,404,147,4,0,6,10,96.4,0,15,1,1,0
AC-1043,Zenith Solutions,Logistics,SMB,1-Year Fixed,Auto-Invoice,4,562.31,2256.94,6,2,6,1,8,13,79.7,1,5,1,0,0
AC-1044,Titan Data,E-Commerce,Mid-Market,Month-to-Month,ACH Direct Debit,38,1894.49,70559.9,20,8,5,0,8,5,63.3,1,0,0,1,0
AC-1045,Vortex Logistics,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,63,693.86,42773.21,20,16,3,1,5,2,75.5,1,0,1,1,0
AC-1046,Solstice Corp,Financial Services,SMB,1-Year Fixed,Auto-Invoice,47,754.3,35060.91,5,2,4,1,5,1,55.7,1,5,1,0,0
AC-1047,Solstice Capital,Manufacturing,Mid-Market,Month-to-Month,Credit Card,1,916.54,870.77,17,11,6,1,8,2,88.0,1,5,1,0,1
AC-1048,Solstice Networks,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,3,1785.41,5338.37,19,10,4,1,7,4,88.0,0,5,1,1,0
AC-1049,Crest Health,Financial Services,SMB,3-Year Enterprise,Auto-Invoice,62,235.4,14575.19,10,7,3,0,7,1,70.2,1,0,1,0,0
AC-1050,Solstice Capital,Financial Services,Mid-Market,3-Year Enterprise,Credit Card,64,1988.65,131895.3,68,54,2,0,9,18,72.2,1,20,1,0,0
AC-1051,Omni Solutions,Financial Services,Mid-Market,1-Year Fixed,Credit Card,17,654.06,11061.79,48,37,6,1,9,13,50.0,1,0,0,0,0
AC-1052,Velocity Labs,E-Commerce,Enterprise,Month-to-Month,ACH Direct Debit,62,3330.17,203653.38,426,282,4,0,6,0,43.7,1,5,1,0,0
AC-1053,Quantum Logistics,Professional Services,Mid-Market,Month-to-Month,Credit Card,35,914.49,33590.69,62,39,5,3,5,5,61.2,0,25,0,0,1
AC-1054,Acme Data,Enterprise Tech,Mid-Market,1-Year Fixed,Auto-Invoice,13,1735.55,22722.82,63,36,1,1,5,9,66.4,1,10,1,0,0
AC-1055,Crest Data,Enterprise Tech,Enterprise,3-Year Enterprise,Auto-Invoice,35,2179.88,76086.85,105,95,2,0,7,1,87.1,1,5,1,1,0
AC-1056,Zenith Health,Enterprise Tech,Enterprise,Month-to-Month,Manual Wire,43,4233.87,181982.42,88,47,2,1,4,4,84.6,0,0,0,0,1
AC-1057,Zenith Systems,Manufacturing,Mid-Market,2-Year Fixed,Credit Card,2,645.44,1330.79,32,15,7,0,7,3,71.3,1,20,1,1,0
AC-1058,Acme Networks,E-Commerce,Enterprise,Month-to-Month,ACH Direct Debit,56,2005.04,110493.32,177,145,5,4,10,1,89.4,1,0,1,0,0
AC-1059,Acme Capital,Financial Services,Enterprise,3-Year Enterprise,Auto-Invoice,51,3168.43,159798.87,440,243,5,0,6,5,51.0,0,10,1,0,0
AC-1060,Apex Data,Logistics,Mid-Market,1-Year Fixed,Credit Card,54,786.2,43541.11,28,25,6,1,6,31,87.4,1,15,0,1,0
AC-1061,Quantum Capital,Manufacturing,SMB,2-Year Fixed,Auto-Invoice,16,501.54,7681.97,7,4,2,0,10,2,53.8,1,0,1,0,0
AC-1062,Velocity Cloud,Logistics,Mid-Market,Month-to-Month,Credit Card,18,669.73,12495.36,29,23,1,1,10,4,90.3,1,10,1,0,0
AC-1063,Nexus Systems,Manufacturing,Enterprise,1-Year Fixed,Manual Wire,7,4388.19,30502.93,257,85,6,0,6,2,67.8,1,25,0,1,1
AC-1064,Quantum Global,Financial Services,Enterprise,Month-to-Month,Manual Wire,45,3190.3,144730.57,364,207,2,0,7,12,32.0,1,10,1,0,1
AC-1065,Nexus Systems,Logistics,Mid-Market,Month-to-Month,Credit Card,36,1116.43,41226.31,34,18,2,0,8,12,81.1,1,5,1,1,0
AC-1066,Aegis Labs,Healthcare,Mid-Market,3-Year Enterprise,Credit Card,41,1765.89,70707.67,69,60,3,2,8,1,82.6,1,15,1,0,0
AC-1067,Titan Networks,Logistics,SMB,3-Year Enterprise,Manual Wire,42,760.29,33178.54,11,11,6,1,10,14,59.8,1,10,1,0,0
AC-1068,Titan Health,E-Commerce,Mid-Market,2-Year Fixed,Credit Card,7,1618.97,11875.89,28,17,4,1,7,1,61.3,0,10,1,0,0
AC-1069,Crest Networks,Logistics,SMB,1-Year Fixed,Auto-Invoice,15,665.77,9980.83,19,17,2,5,8,0,65.1,1,10,1,1,0
AC-1070,Acme Capital,E-Commerce,Enterprise,2-Year Fixed,Credit Card,60,2297.23,143856.27,273,216,1,4,9,6,33.3,1,0,1,1,0
AC-1071,Crest Solutions,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,40,1043.45,39655.81,15,15,2,0,10,3,25.4,0,0,0,1,0
AC-1072,Apex Networks,Healthcare,Enterprise,Month-to-Month,Credit Card,37,4127.41,158734.74,74,64,3,0,9,4,91.4,1,0,1,1,0
AC-1073,Synergy Capital,Professional Services,SMB,Month-to-Month,Credit Card,66,512.89,33211.11,20,7,1,1,8,6,53.2,1,0,0,1,0
AC-1074,Omni Global,Professional Services,Mid-Market,1-Year Fixed,Credit Card,55,1857.04,100211.87,74,59,1,1,4,0,100.0,1,0,1,1,0
AC-1075,Crest Capital,Enterprise Tech,Mid-Market,1-Year Fixed,Auto-Invoice,56,939.61,51187.41,39,26,4,2,6,2,92.7,1,5,1,1,0
AC-1076,Hyperion Cloud,Enterprise Tech,Enterprise,Month-to-Month,Auto-Invoice,44,2549.9,110142.58,184,57,4,2,9,3,96.2,1,0,1,1,0
AC-1077,Nexus Systems,Enterprise Tech,Enterprise,1-Year Fixed,Credit Card,57,2989.7,165530.31,491,234,4,0,8,1,56.3,1,15,1,0,0
AC-1078,Nexus Labs,E-Commerce,Mid-Market,2-Year Fixed,ACH Direct Debit,6,1409.88,8802.62,26,25,2,0,9,0,39.0,0,15,1,1,0
AC-1079,Velocity Global,Logistics,Enterprise,1-Year Fixed,Credit Card,32,4106.62,136655.48,115,109,4,2,10,0,48.4,1,10,1,1,0
AC-1080,Apex Labs,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,18,1929.44,33348.4,47,40,4,1,5,9,60.0,1,5,1,0,1
AC-1081,Titan Networks,Healthcare,Enterprise,Month-to-Month,Manual Wire,68,3257.95,213628.46,472,466,4,1,10,14,25.3,1,0,1,1,0
AC-1082,Velocity Networks,Logistics,Mid-Market,Month-to-Month,Manual Wire,7,732.82,5315.45,56,48,2,1,7,1,59.4,1,5,1,1,0
AC-1083,Aegis Health,E-Commerce,SMB,Month-to-Month,Auto-Invoice,8,260.17,2060.33,9,3,6,1,9,1,64.4,0,10,1,0,0
AC-1084,Velocity Logistics,Healthcare,SMB,1-Year Fixed,Auto-Invoice,64,401.67,24856.68,15,8,4,3,7,6,44.7,0,15,0,1,0
AC-1085,Titan Data,Healthcare,SMB,1-Year Fixed,ACH Direct Debit,7,427.53,2995.9,17,5,7,1,10,18,49.3,1,0,0,1,0
AC-1086,Zenith Global,Healthcare,Enterprise,1-Year Fixed,ACH Direct Debit,41,3154.78,128268.11,434,159,3,0,7,2,64.0,1,10,0,1,0
AC-1087,Velocity Networks,Financial Services,Enterprise,1-Year Fixed,Manual Wire,40,3218.73,125133.43,496,225,2,1,6,11,74.4,1,10,1,0,0
AC-1088,Apex Corp,Healthcare,Mid-Market,2-Year Fixed,ACH Direct Debit,3,1334.23,4091.05,45,29,0,1,8,4,52.0,1,10,1,0,1
AC-1089,Zenith Corp,E-Commerce,Mid-Market,Month-to-Month,Credit Card,17,1973.27,33986.01,37,33,2,2,8,19,73.3,0,0,0,0,1
AC-1090,Solstice Labs,Manufacturing,Mid-Market,1-Year Fixed,Credit Card,66,1373.96,87051.04,68,61,1,0,10,0,70.5,0,5,0,0,0
AC-1091,Synergy Networks,E-Commerce,Enterprise,2-Year Fixed,Auto-Invoice,52,1825.17,98946.14,431,315,3,1,8,22,68.8,0,5,1,1,0
AC-1092,Zenith Cloud,Logistics,Enterprise,Month-to-Month,Auto-Invoice,22,3999.63,88506.35,173,164,4,0,10,3,56.3,1,5,1,1,1
AC-1093,Zenith Corp,Enterprise Tech,Enterprise,Month-to-Month,Credit Card,4,2237.64,8726.98,463,301,5,3,7,18,44.0,0,5,1,1,1
AC-1094,Zenith Networks,Healthcare,SMB,2-Year Fixed,Credit Card,6,240.53,1400.79,6,6,1,0,7,3,98.5,1,0,0,0,0
AC-1095,Aegis Global,Enterprise Tech,Enterprise,Month-to-Month,Credit Card,38,4131.81,151292.84,327,202,1,1,6,4,79.3,1,0,1,0,0
AC-1096,Hyperion Data,Enterprise Tech,Mid-Market,1-Year Fixed,ACH Direct Debit,26,1274.93,32898.37,58,29,5,1,7,10,86.1,1,0,1,1,1
AC-1097,Vortex Logistics,E-Commerce,Enterprise,Month-to-Month,Auto-Invoice,11,3562.98,37764.36,430,405,3,3,8,7,66.5,1,0,1,1,1
AC-1098,Zenith Health,Professional Services,Mid-Market,1-Year Fixed,Credit Card,17,803.16,13538.78,73,42,8,0,8,5,65.0,1,0,1,1,0
AC-1099,Omni Technologies,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,31,1288.91,38552.83,52,34,3,0,7,3,76.8,1,0,1,1,0
AC-1100,Crest Data,Financial Services,SMB,Month-to-Month,Credit Card,35,223.49,7944.81,15,8,5,3,6,9,35.0,1,0,1,1,1
AC-1101,Crest Data,Logistics,SMB,1-Year Fixed,ACH Direct Debit,16,761.58,12532.86,6,5,2,1,5,18,47.9,1,10,1,0,0
AC-1102,Starlight Cloud,Enterprise Tech,Mid-Market,Month-to-Month,Credit Card,18,662.27,11979.9,56,56,5,1,6,0,53.6,1,15,1,1,1
AC-1103,Titan Networks,Healthcare,SMB,1-Year Fixed,Manual Wire,62,604.41,38148.15,8,3,5,1,10,5,59.8,1,5,0,0,0
AC-1104,Crest Health,E-Commerce,SMB,Month-to-Month,Auto-Invoice,27,280.04,7892.54,13,12,3,1,10,12,52.2,1,5,1,1,0
AC-1105,Synergy Systems,E-Commerce,SMB,Month-to-Month,Credit Card,35,727.94,25830.44,21,6,4,0,7,6,74.0,1,15,1,1,0
AC-1106,Apex Health,Enterprise Tech,SMB,Month-to-Month,Auto-Invoice,45,506.43,22479.78,21,12,4,1,5,9,69.5,1,10,1,1,0
AC-1107,Aegis Health,Financial Services,Enterprise,Month-to-Month,Credit Card,35,2123.27,73939.01,167,70,4,1,7,13,93.1,1,0,1,0,0
AC-1108,Starlight Health,Logistics,Mid-Market,3-Year Enterprise,ACH Direct Debit,28,844.58,24500.82,19,16,8,1,10,8,100.0,1,10,1,1,0
AC-1109,Nexus Networks,Healthcare,Enterprise,Month-to-Month,Credit Card,9,3263.47,28286.61,497,167,4,0,9,7,45.3,1,5,1,0,0
AC-1110,Hyperion Capital,Enterprise Tech,Enterprise,1-Year Fixed,ACH Direct Debit,15,4247.61,62603.85,231,159,2,1,8,20,70.7,1,10,1,0,1
AC-1111,Aegis Health,Logistics,SMB,Month-to-Month,Auto-Invoice,21,590.35,12493.16,19,10,1,0,9,12,70.6,1,25,1,1,1
AC-1112,Solstice Labs,Enterprise Tech,Mid-Market,Month-to-Month,ACH Direct Debit,52,1049.89,55557.27,32,13,2,1,10,10,67.7,1,5,1,1,0
AC-1113,Apex Global,E-Commerce,Mid-Market,3-Year Enterprise,Auto-Invoice,35,1614.45,57994.67,20,17,0,0,5,0,48.5,0,20,1,1,0
AC-1114,Titan Data,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,51,204.68,10248.91,19,9,4,2,6,1,51.5,0,5,1,1,1
AC-1115,Quantum Cloud,Professional Services,SMB,3-Year Enterprise,Auto-Invoice,55,616.21,32691.31,13,6,4,1,6,5,72.3,1,5,1,0,0
AC-1116,Hyperion Capital,Financial Services,SMB,Month-to-Month,Auto-Invoice,44,393.6,18106.11,9,4,3,0,8,7,51.0,0,5,0,0,1
AC-1117,Acme Corp,Financial Services,Enterprise,2-Year Fixed,Credit Card,65,2677.89,166689.41,213,151,6,0,8,2,70.9,1,15,0,0,0
AC-1118,Apex Systems,Enterprise Tech,Enterprise,1-Year Fixed,Manual Wire,25,4765.42,114320.11,410,312,2,1,9,0,63.6,0,0,1,1,0
AC-1119,Titan Corp,Financial Services,Mid-Market,2-Year Fixed,Auto-Invoice,47,663.08,31149.0,76,24,3,0,6,2,70.5,0,10,0,0,0
AC-1120,Crest Networks,Manufacturing,Enterprise,1-Year Fixed,Auto-Invoice,56,2340.85,135272.85,168,79,2,2,10,9,50.8,1,15,0,1,0
AC-1121,Vortex Global,Professional Services,Enterprise,1-Year Fixed,ACH Direct Debit,38,4048.46,158064.49,390,235,3,2,7,12,70.8,1,5,1,1,0
AC-1122,Apex Labs,Financial Services,Mid-Market,Month-to-Month,Auto-Invoice,11,1967.57,22590.59,40,21,3,1,9,15,52.1,1,0,1,1,0
AC-1123,Apex Capital,Financial Services,SMB,Month-to-Month,Auto-Invoice,67,462.07,29849.14,24,22,8,0,10,2,70.9,0,0,1,1,0
AC-1124,Apex Cloud,E-Commerce,Mid-Market,3-Year Enterprise,Credit Card,15,953.08,14118.54,71,60,9,0,10,2,92.1,1,10,0,0,0
AC-1125,Apex Solutions,Manufacturing,Mid-Market,Month-to-Month,Auto-Invoice,1,964.72,943.7,41,30,5,0,8,3,72.7,0,15,0,1,0
AC-1126,Vortex Data,Healthcare,Mid-Market,1-Year Fixed,Manual Wire,7,1504.11,10908.72,73,39,3,0,9,2,73.8,0,5,1,1,0
AC-1127,Hyperion Networks,Financial Services,Enterprise,2-Year Fixed,ACH Direct Debit,1,3369.66,3365.74,188,149,6,0,10,6,82.7,0,10,1,1,0
AC-1128,Omni Systems,Financial Services,Enterprise,Month-to-Month,Credit Card,49,4659.13,217495.43,421,375,2,2,8,2,42.7,1,0,0,0,1
AC-1129,Apex Global,E-Commerce,SMB,3-Year Enterprise,Manual Wire,29,589.02,17436.82,9,6,5,0,6,0,98.9,1,5,1,0,1
AC-1130,Solstice Solutions,Enterprise Tech,Mid-Market,2-Year Fixed,Credit Card,26,1999.49,51408.12,30,25,4,0,8,3,49.0,1,5,1,1,0
AC-1131,Omni Data,E-Commerce,SMB,1-Year Fixed,Auto-Invoice,45,300.57,13567.78,20,16,3,0,7,1,83.8,1,10,1,0,0
AC-1132,Titan Technologies,Financial Services,Enterprise,2-Year Fixed,Auto-Invoice,71,4002.75,295386.5,102,71,5,0,2,0,81.4,1,25,1,1,0
AC-1133,Synergy Corp,Logistics,SMB,Month-to-Month,Credit Card,12,776.44,9090.63,10,5,4,0,8,3,51.8,1,15,1,0,0
AC-1134,Synergy Cloud,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,32,1844.24,57482.83,79,65,5,1,7,1,86.2,0,0,1,1,0
AC-1135,Quantum Cloud,Healthcare,Mid-Market,1-Year Fixed,Manual Wire,20,978.0,19096.8,43,19,2,1,10,3,77.0,1,10,1,1,0
AC-1136,Apex Technologies,Healthcare,Mid-Market,Month-to-Month,ACH Direct Debit,51,1535.11,77023.15,44,37,3,0,6,2,100.0,0,0,1,1,0
AC-1137,Quantum Labs,E-Commerce,SMB,2-Year Fixed,Auto-Invoice,36,689.33,23841.49,24,21,4,1,4,5,71.5,1,0,1,1,0
AC-1138,Starlight Solutions,Enterprise Tech,Mid-Market,3-Year Enterprise,Credit Card,67,829.81,56693.76,24,21,2,1,8,28,66.0,1,0,1,1,0
AC-1139,Hyperion Technologies,Healthcare,Mid-Market,1-Year Fixed,ACH Direct Debit,1,1219.51,1183.83,65,41,7,2,8,4,58.7,1,5,1,1,0
AC-1140,Aegis Systems,Healthcare,SMB,Month-to-Month,Manual Wire,27,587.86,16548.61,12,5,3,0,7,6,36.6,1,10,1,1,0
AC-1141,Acme Data,Healthcare,SMB,3-Year Enterprise,ACH Direct Debit,40,329.59,12808.77,23,9,4,1,7,15,62.3,1,5,1,0,0
AC-1142,Aegis Technologies,E-Commerce,Mid-Market,1-Year Fixed,Credit Card,14,1274.46,17406.45,50,41,6,1,5,2,63.0,1,20,1,0,0
AC-1143,Zenith Global,E-Commerce,Mid-Market,1-Year Fixed,ACH Direct Debit,69,1044.56,70611.67,69,64,4,0,7,1,72.7,1,0,1,0,0
AC-1144,Starlight Data,Logistics,Mid-Market,1-Year Fixed,Credit Card,6,1105.05,6808.35,49,37,2,0,6,2,42.4,0,5,1,0,0
AC-1145,Aegis Corp,Financial Services,Enterprise,3-Year Enterprise,Credit Card,33,4275.05,140055.35,250,100,6,1,9,3,63.7,1,5,1,1,0
AC-1146,Nexus Logistics,Logistics,Mid-Market,1-Year Fixed,Auto-Invoice,55,1485.63,84318.92,70,67,3,0,8,6,78.4,1,0,0,1,0
AC-1147,Nexus Global,Healthcare,SMB,2-Year Fixed,Auto-Invoice,19,668.1,13055.49,18,18,2,1,7,0,80.2,0,25,1,1,0
AC-1148,Starlight Networks,Enterprise Tech,SMB,2-Year Fixed,Credit Card,29,403.39,12200.74,23,14,3,0,10,11,34.5,1,5,1,0,0
AC-1149,Starlight Health,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,61,1807.9,113111.78,76,54,4,0,7,0,80.7,0,20,1,0,0
AC-1150,Apex Capital,Financial Services,Mid-Market,1-Year Fixed,Auto-Invoice,70,1312.72,87772.89,39,33,6,2,8,14,63.6,0,5,0,1,0
AC-1151,Synergy Solutions,Logistics,Enterprise,2-Year Fixed,ACH Direct Debit,24,4697.82,116550.45,189,154,4,0,7,18,64.7,1,0,0,1,0
AC-1152,Quantum Systems,E-Commerce,SMB,1-Year Fixed,Auto-Invoice,23,574.84,13800.51,19,19,7,2,10,28,25.4,1,0,1,1,1
AC-1153,Aegis Data,Logistics,SMB,2-Year Fixed,Credit Card,10,733.54,7697.54,13,5,3,0,7,10,94.9,1,15,1,1,0
AC-1154,Acme Health,Healthcare,Mid-Market,3-Year Enterprise,Credit Card,54,1540.33,80060.88,66,47,7,0,7,0,71.2,1,0,1,1,0
AC-1155,Vortex Networks,Financial Services,SMB,1-Year Fixed,Manual Wire,41,789.13,32720.82,13,10,4,2,7,7,40.4,0,20,1,1,0
AC-1156,Velocity Logistics,Enterprise Tech,Mid-Market,2-Year Fixed,Credit Card,49,1540.04,73194.02,77,71,6,0,8,1,74.8,1,5,0,1,0
AC-1157,Nexus Networks,Financial Services,Mid-Market,2-Year Fixed,Auto-Invoice,17,953.4,15822.88,34,31,1,0,10,13,74.2,1,0,1,1,0
AC-1158,Crest Logistics,Financial Services,Enterprise,2-Year Fixed,Credit Card,56,3285.83,188525.39,78,77,4,0,9,2,90.0,1,10,1,0,0
AC-1159,Acme Corp,Enterprise Tech,Mid-Market,1-Year Fixed,ACH Direct Debit,45,1578.89,74443.88,15,10,5,0,7,2,62.4,0,0,1,1,0
AC-1160,Crest Systems,Enterprise Tech,Mid-Market,Month-to-Month,Manual Wire,30,1502.71,45508.92,24,21,6,1,10,15,68.2,0,0,1,1,0
AC-1161,Vortex Systems,Healthcare,Mid-Market,1-Year Fixed,Credit Card,44,1175.13,53518.44,37,22,4,1,9,0,56.4,1,15,1,0,0
AC-1162,Solstice Data,E-Commerce,Mid-Market,1-Year Fixed,Auto-Invoice,55,1335.96,69869.19,65,39,3,1,6,1,78.8,1,5,1,0,0
AC-1163,Omni Labs,Professional Services,SMB,1-Year Fixed,Manual Wire,19,373.4,6765.86,24,11,7,0,4,3,53.9,1,5,1,1,0
AC-1164,Aegis Networks,Professional Services,Enterprise,2-Year Fixed,Auto-Invoice,29,1711.48,50112.99,424,370,3,1,6,7,51.9,0,0,1,1,0
AC-1165,Acme Health,E-Commerce,Mid-Market,1-Year Fixed,Credit Card,2,1521.04,3008.31,43,43,5,2,8,6,66.8,1,0,0,1,1
AC-1166,Nexus Global,Financial Services,Mid-Market,1-Year Fixed,Credit Card,36,689.48,25788.71,72,35,6,3,8,6,45.9,1,5,1,0,0
AC-1167,Nexus Corp,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,19,832.39,15502.24,57,19,1,0,10,13,96.8,1,5,1,1,0
AC-1168,Quantum Technologies,Logistics,Mid-Market,2-Year Fixed,Auto-Invoice,7,1021.33,7100.73,24,21,5,2,5,0,100.0,0,15,1,0,0
AC-1169,Quantum Systems,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,26,2810.9,73287.37,261,192,2,1,6,4,59.8,0,5,1,1,1
AC-1170,Quantum Corp,Financial Services,Enterprise,Month-to-Month,Credit Card,38,2386.71,88636.56,57,55,3,0,5,7,43.0,1,15,1,1,0
