account_id,company_name,industry,customer_segment,contract_type,payment_method,tenure_months,monthly_charges,total_charges,contract_licenses,active_users,support_tickets_30d,sla_breaches_90d,nps_score,last_login_days_ago,feature_usage_score,executive_sponsor_present,discount_percentage,paperless_billing,auto_renewal,churn,support_ticket_rate,usage_per_license,charge_per_user,engagement_score,account_health_index,churn_probability,prediction,risk_level
AC-1018,Aegis Cloud,Enterprise Tech,Mid-Market,2-Year Fixed,ACH Direct Debit,44,984.51,42805.93,17,17,5,1,10,19,69.6,1,0,0,1,0,0.1111,1.0,57.91,81.76,76.5,0.0852,0,LOW
AC-1019,Velocity Logistics,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,27,1622.89,43025.36,15,7,6,0,8,2,77.4,1,10,1,0,0,0.2143,0.4667,231.84,78.44,85.33,0.1103,0,LOW
AC-1020,Crest Data,Logistics,Mid-Market,2-Year Fixed,Credit Card,26,1765.54,47523.69,17,16,1,0,7,0,66.4,1,0,0,1,0,0.037,0.9412,110.35,67.84,89.82,0.0275,0,LOW
AC-1021,Velocity Global,Financial Services,Mid-Market,Month-to-Month,Credit Card,60,1600.73,93355.49,63,37,6,2,6,21,87.7,0,5,1,1,0,0.0984,0.5873,43.26,76.62,8.25,0.2133,0,LOW
AC-1022,Crest Networks,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,18,4579.92,79802.55,346,232,0,3,6,9,43.3,0,5,1,1,1,0.0,0.6705,19.74,49.98,17.91,0.7747,1,HIGH
AC-1023,Starlight Health,Enterprise Tech,Enterprise,2-Year Fixed,Auto-Invoice,56,2600.59,138578.68,480,185,3,0,9,1,55.4,1,5,1,0,0,0.0526,0.3854,14.06,69.24,93.21,0.037,0,LOW
AC-1024,Nexus Labs,Professional Services,Mid-Market,3-Year Enterprise,Manual Wire,31,1596.97,48073.25,45,31,5,1,4,3,62.1,0,0,0,1,0,0.1562,0.6889,51.52,53.26,31.28,0.1423,0,LOW
AC-1025,Nexus Networks,Financial Services,Mid-Market,3-Year Enterprise,ACH Direct Debit,59,1191.76,70444.14,78,57,5,1,10,12,80.8,1,25,1,0,0,0.0833,0.7308,20.91,88.48,81.62,0.0087,0,LOW
AC-1026,Omni Health,Logistics,Enterprise,2-Year Fixed,Credit Card,2,2414.09,4846.77,322,321,4,0,7,2,71.9,1,5,1,1,0,1.3333,0.9969,7.52,71.14,87.94,0.1204,0,LOW
AC-1027,Synergy Solutions,E-Commerce,SMB,2-Year Fixed,Credit Card,39,200.82,7639.64,7,7,7,0,5,5,100.0,1,10,0,1,0,0.175,1.0,28.69,80.0,67.5,0.0458,0,LOW
AC-1028,Starlight Health,Financial Services,SMB,Month-to-Month,Auto-Invoice,61,467.96,27324.59,12,12,2,1,5,4,53.5,0,10,0,0,0,0.0323,1.0,39.0,52.1,44.0,0.143,0,LOW
AC-1029,Crest Solutions,Enterprise Tech,Mid-Market,Month-to-Month,Credit Card,63,1178.86,76085.08,61,33,4,0,9,3,42.9,1,5,1,0,0,0.0625,0.541,35.72,61.74,93.32,0.0341,0,LOW
AC-1030,Titan Health,Enterprise Tech,Enterprise,Month-to-Month,Credit Card,18,2377.45,43898.08,102,101,4,1,7,6,100.0,1,0,1,1,0,0.2105,0.9902,23.54,88.0,71.8,0.0382,0,LOW
AC-1031,Titan Labs,E-Commerce,SMB,1-Year Fixed,Credit Card,17,245.1,4374.13,18,11,1,2,10,3,42.2,1,5,0,1,0,0.0556,0.6111,22.28,65.32,82.72,0.0342,0,LOW
AC-1032,Vortex Corp,Logistics,Mid-Market,1-Year Fixed,Auto-Invoice,39,1618.79,65658.31,72,65,4,0,5,0,80.3,1,10,1,1,0,0.1,0.9028,24.9,68.18,73.06,0.0248,0,LOW
AC-1033,Crest Data,E-Commerce,SMB,1-Year Fixed,Auto-Invoice,71,568.85,42109.14,19,9,7,2,6,10,50.4,1,5,1,1,0,0.0972,0.4737,63.21,54.24,37.47,0.0294,0,LOW
AC-1034,Synergy Data,Healthcare,SMB,Month-to-Month,Auto-Invoice,54,702.51,39066.79,7,5,4,0,7,0,30.8,1,0,1,1,0,0.0727,0.7143,140.5,46.48,85.29,0.0687,0,LOW
AC-1035,Zenith Capital,Enterprise Tech,SMB,1-Year Fixed,Manual Wire,35,310.14,10980.28,5,5,3,0,6,3,61.3,1,0,1,0,1,0.0833,1.0,62.03,60.78,78.5,0.659,1,HIGH
AC-1036,Velocity Global,Professional Services,Mid-Market,Month-to-Month,Credit Card,11,1211.97,12836.46,39,38,1,0,7,5,84.2,1,5,1,1,0,0.0833,0.9744,31.89,78.52,82.99,0.0725,0,LOW
AC-1037,Solstice Systems,Logistics,Enterprise,Month-to-Month,Credit Card,61,3448.03,212902.44,126,98,4,1,8,7,46.0,1,0,0,1,1,0.0645,0.7778,35.18,59.6,74.06,0.122,0,LOW
AC-1038,Starlight Solutions,Financial Services,Mid-Market,1-Year Fixed,Auto-Invoice,44,1394.48,58632.59,28,24,3,0,8,3,78.4,0,20,1,0,0,0.0667,0.8571,58.1,79.04,76.64,0.0135,0,LOW
AC-1039,Quantum Corp,Professional Services,Mid-Market,2-Year Fixed,Auto-Invoice,68,1931.0,136367.29,59,25,2,0,10,8,81.7,1,0,1,0,0,0.029,0.4237,77.24,89.02,91.47,0.0089,0,LOW
AC-1040,Vortex Technologies,E-Commerce,Mid-Market,2-Year Fixed,ACH Direct Debit,25,1436.91,35857.45,53,43,5,1,4,0,45.1,0,5,0,0,1,0.1923,0.8113,33.42,43.06,38.23,0.2225,0,LOW
AC-1041,Hyperion Logistics,Healthcare,Enterprise,1-Year Fixed,Credit Card,48,2131.93,104353.43,67,49,3,1,8,6,63.9,1,10,1,0,0,0.0612,0.7313,43.51,70.34,74.63,0.0628,0,LOW
AC-1042,Starlight Technologies,E-Commerce,Enterprise,Month-to-Month,Credit Card,32,2052.09,62726.6,404,147,4,0,6,10,96.4,0,15,1,1,0,0.1212,0.3639,13.96,81.84,40.28,0.0765,0,LOW
AC-1043,Zenith Solutions,Logistics,SMB,1-Year Fixed,Auto-Invoice,4,562.31,2256.94,6,2,6,1,8,13,79.7,1,5,1,0,0,1.2,0.3333,281.15,79.82,56.17,0.129,0,LOW
AC-1044,Titan Data,E-Commerce,Mid-Market,Month-to-Month,ACH Direct Debit,38,1894.49,70559.9,20,8,5,0,8,5,63.3,1,0,0,1,0,0.1282,0.4,236.81,69.98,79.5,0.1207,0,LOW
AC-1045,Vortex Logistics,Enterprise Tech,SMB,1-Year Fixed,Auto-Invoice,63,693.86,42773.21,20,16,3,1,5,2,75.5,1,0,1,1,0,0.0469,0.8,43.37,65.3,58.0,0.0114,0,LOW
AC-1046,Solstice Corp,Financial Services,SMB,1-Year Fixed,Auto-Invoice,47,754.3,35060.91,5,2,4,1,5,1,55.7,1,5,1,0,0,0.0833,0.4,377.15,53.42,51.5,0.0279,0,LOW
AC-1047,Solstice Capital,Manufacturing,Mid-Market,Month-to-Month,Credit Card,1,916.54,870.77,17,11,6,1,8,2,88.0,1,5,1,0,1,3.0,0.6471,83.32,84.8,78.94,0.629,1,HIGH
AC-1048,Solstice Networks,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,3,1785.41,5338.37,19,10,4,1,7,4,88.0,0,5,1,1,0,1.0,0.5263,178.54,80.8,50.53,0.1375,0,LOW
AC-1049,Crest Health,Financial Services,SMB,3-Year Enterprise,Auto-Invoice,62,235.4,14575.19,10,7,3,0,7,1,70.2,1,0,1,0,0,0.0476,0.7,33.63,70.12,83.5,0.0173,0,LOW
AC-1050,Solstice Capital,Financial Services,Mid-Market,3-Year Enterprise,Credit Card,64,1988.65,131895.3,68,54,2,0,9,18,72.2,1,20,1,0,0,0.0308,0.7941,36.83,79.32,75.88,0.0547,0,LOW
AC-1051,Omni Solutions,Financial Services,Mid-Market,1-Year Fixed,Credit Card,17,654.06,11061.79,48,37,6,1,9,13,50.0,1,0,0,0,0,0.3333,0.7708,17.68,66.0,72.92,0.0952,0,LOW
AC-1052,Velocity Labs,E-Commerce,Enterprise,Month-to-Month,ACH Direct Debit,62,3330.17,203653.38,426,282,4,0,6,0,43.7,1,5,1,0,0,0.0635,0.662,11.81,50.22,76.24,0.175,0,LOW
AC-1053,Quantum Logistics,Professional Services,Mid-Market,Month-to-Month,Credit Card,35,914.49,33590.69,62,39,5,3,5,5,61.2,0,25,0,0,1,0.1389,0.629,23.45,56.72,15.08,0.948,1,CRITICAL
AC-1054,Acme Data,Enterprise Tech,Mid-Market,1-Year Fixed,Auto-Invoice,13,1735.55,22722.82,63,36,1,1,5,9,66.4,1,10,1,0,0,0.0714,0.5714,48.21,59.84,42.93,0.23,0,LOW
AC-1055,Crest Data,Enterprise Tech,Enterprise,3-Year Enterprise,Auto-Invoice,35,2179.88,76086.85,105,95,2,0,7,1,87.1,1,5,1,1,0,0.0556,0.9048,22.95,80.26,87.6,0.0135,0,LOW
AC-1056,Zenith Health,Enterprise Tech,Enterprise,Month-to-Month,Manual Wire,43,4233.87,181982.42,88,47,2,1,4,4,84.6,0,0,0,0,1,0.0455,0.5341,90.08,66.76,26.68,0.6877,1,HIGH
AC-1057,Zenith Systems,Manufacturing,Mid-Market,2-Year Fixed,Credit Card,2,645.44,1330.79,32,15,7,0,7,3,71.3,1,20,1,1,0,2.3333,0.4687,43.03,70.78,75.87,0.054,0,LOW
AC-1058,Acme Networks,E-Commerce,Enterprise,Month-to-Month,ACH Direct Debit,56,2005.04,110493.32,177,145,5,4,10,1,89.4,1,0,1,0,0,0.0877,0.8192,13.83,93.64,69.88,0.0662,0,LOW
AC-1059,Acme Capital,Financial Services,Enterprise,3-Year Enterprise,Auto-Invoice,51,3168.43,159798.87,440,243,5,0,6,5,51.0,0,10,1,0,0,0.0962,0.5523,13.04,54.6,51.55,0.1704,0,LOW
AC-1060,Apex Data,Logistics,Mid-Market,1-Year Fixed,Credit Card,54,786.2,43541.11,28,25,6,1,6,31,87.4,1,15,0,1,0,0.1091,0.8929,31.45,76.44,24.36,0.0895,0,LOW
AC-1061,Quantum Capital,Manufacturing,SMB,2-Year Fixed,Auto-Invoice,16,501.54,7681.97,7,4,2,0,10,2,53.8,1,0,1,0,0,0.1176,0.5714,125.38,72.28,103.43,0.0201,0,LOW
AC-1062,Velocity Cloud,Logistics,Mid-Market,Month-to-Month,Credit Card,18,669.73,12495.36,29,23,1,1,10,4,90.3,1,10,1,0,0,0.0526,0.7931,29.12,94.18,94.86,0.0111,0,LOW
AC-1063,Nexus Systems,Manufacturing,Enterprise,1-Year Fixed,Manual Wire,7,4388.19,30502.93,257,85,6,0,6,2,67.8,1,25,0,1,1,0.75,0.3307,51.63,64.68,66.61,0.6926,1,HIGH
AC-1064,Quantum Global,Financial Services,Enterprise,Month-to-Month,Manual Wire,45,3190.3,144730.57,364,207,2,0,7,12,32.0,1,10,1,0,1,0.0435,0.5687,15.41,47.2,64.37,0.6186,1,HIGH
AC-1065,Nexus Systems,Logistics,Mid-Market,Month-to-Month,Credit Card,36,1116.43,41226.31,34,18,2,0,8,12,81.1,1,5,1,1,0,0.0541,0.5294,62.02,80.66,71.59,0.0663,0,LOW
AC-1066,Aegis Labs,Healthcare,Mid-Market,3-Year Enterprise,Credit Card,41,1765.89,70707.67,69,60,3,2,8,1,82.6,1,15,1,0,0,0.0714,0.8696,29.43,81.56,74.89,0.0726,0,LOW
AC-1067,Titan Networks,Logistics,SMB,3-Year Enterprise,Manual Wire,42,760.29,33178.54,11,11,6,1,10,14,59.8,1,10,1,0,0,0.1395,1.0,69.12,75.88,84.0,0.0418,0,LOW
AC-1068,Titan Health,E-Commerce,Mid-Market,2-Year Fixed,Credit Card,7,1618.97,11875.89,28,17,4,1,7,1,61.3,0,10,1,0,0,0.5,0.6071,95.23,64.78,56.64,0.1742,0,LOW
AC-1069,Crest Networks,Logistics,SMB,1-Year Fixed,Auto-Invoice,15,665.77,9980.83,19,17,2,5,8,0,65.1,1,10,1,1,0,0.125,0.8947,39.16,71.06,46.89,0.0752,0,LOW
AC-1070,Acme Capital,E-Commerce,Enterprise,2-Year Fixed,Credit Card,60,2297.23,143856.27,273,216,1,4,9,6,33.3,1,0,1,1,0,0.0164,0.7912,10.64,55.98,53.82,0.1343,0,LOW
AC-1071,Crest Solutions,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,40,1043.45,39655.81,15,15,2,0,10,3,25.4,0,0,0,1,0,0.0488,1.0,69.56,55.24,95.5,0.0861,0,LOW
AC-1072,Apex Networks,Healthcare,Enterprise,Month-to-Month,Credit Card,37,4127.41,158734.74,74,64,3,0,9,4,91.4,1,0,1,1,0,0.0789,0.8649,64.49,90.84,98.3,0.0128,0,LOW
AC-1073,Synergy Capital,Professional Services,SMB,Month-to-Month,Credit Card,66,512.89,33211.11,20,7,1,1,8,6,53.2,1,0,0,1,0,0.0149,0.35,73.27,63.92,67.0,0.0704,0,LOW
AC-1074,Omni Global,Professional Services,Mid-Market,1-Year Fixed,Credit Card,55,1857.04,100211.87,74,59,1,1,4,0,100.0,1,0,1,1,0,0.0179,0.7973,31.48,76.0,52.95,0.0302,0,LOW
AC-1075,Crest Capital,Enterprise Tech,Mid-Market,1-Year Fixed,Auto-Invoice,56,939.61,51187.41,39,26,4,2,6,2,92.7,1,5,1,1,0,0.0702,0.6667,36.14,79.62,53.33,0.0396,0,LOW
AC-1076,Hyperion Cloud,Enterprise Tech,Enterprise,Month-to-Month,Auto-Invoice,44,2549.9,110142.58,184,57,4,2,9,3,96.2,1,0,1,1,0,0.0889,0.3098,44.74,93.72,68.7,0.0438,0,LOW
AC-1077,Nexus Systems,Enterprise Tech,Enterprise,1-Year Fixed,Credit Card,57,2989.7,165530.31,491,234,4,0,8,1,56.3,1,15,1,0,0,0.069,0.4766,12.78,65.78,87.03,0.0371,0,LOW
AC-1078,Nexus Labs,E-Commerce,Mid-Market,2-Year Fixed,ACH Direct Debit,6,1409.88,8802.62,26,25,2,0,9,0,39.0,0,15,1,1,0,0.2857,0.9615,56.4,59.4,91.23,0.1236,0,LOW
AC-1079,Velocity Global,Logistics,Enterprise,1-Year Fixed,Credit Card,32,4106.62,136655.48,115,109,4,2,10,0,48.4,1,10,1,1,0,0.1212,0.9478,37.68,69.04,93.96,0.1306,0,LOW
AC-1080,Apex Labs,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,18,1929.44,33348.4,47,40,4,1,5,9,60.0,1,5,1,0,1,0.2105,0.8511,48.24,56.0,48.52,0.7456,1,HIGH
AC-1081,Titan Networks,Healthcare,Enterprise,Month-to-Month,Manual Wire,68,3257.95,213628.46,472,466,4,1,10,14,25.3,1,0,1,1,0,0.058,0.9873,6.99,55.18,83.75,0.101,0,LOW
AC-1082,Velocity Networks,Logistics,Mid-Market,Month-to-Month,Manual Wire,7,732.82,5315.45,56,48,2,1,7,1,59.4,1,5,1,1,0,0.25,0.8571,15.27,63.64,76.64,0.19,0,LOW
AC-1083,Aegis Health,E-Commerce,SMB,Month-to-Month,Auto-Invoice,8,260.17,2060.33,9,3,6,1,9,1,64.4,0,10,1,0,0,0.6667,0.3333,86.72,74.64,67.17,0.258,0,LOW
AC-1084,Velocity Logistics,Healthcare,SMB,1-Year Fixed,Auto-Invoice,64,401.67,24856.68,15,8,4,3,7,6,44.7,0,15,0,1,0,0.0615,0.5333,50.21,54.82,27.67,0.0338,0,LOW
AC-1085,Titan Data,Healthcare,SMB,1-Year Fixed,ACH Direct Debit,7,427.53,2995.9,17,5,7,1,10,18,49.3,1,0,0,1,0,0.875,0.2941,85.51,69.58,63.88,0.1185,0,LOW
AC-1086,Zenith Global,Healthcare,Enterprise,1-Year Fixed,ACH Direct Debit,41,3154.78,128268.11,434,159,3,0,7,2,64.0,1,10,0,1,0,0.0714,0.3664,19.84,66.4,75.33,0.1149,0,LOW
AC-1087,Velocity Networks,Financial Services,Enterprise,1-Year Fixed,Manual Wire,40,3218.73,125133.43,496,225,2,1,6,11,74.4,1,10,1,0,0,0.0488,0.4536,14.31,68.64,45.57,0.1163,0,LOW
AC-1088,Apex Corp,Healthcare,Mid-Market,2-Year Fixed,ACH Direct Debit,3,1334.23,4091.05,45,29,0,1,8,4,52.0,1,10,1,0,1,0.0,0.6444,46.01,63.2,75.89,0.4004,0,MEDIUM
AC-1089,Zenith Corp,E-Commerce,Mid-Market,Month-to-Month,Credit Card,17,1973.27,33986.01,37,33,2,2,8,19,73.3,0,0,0,0,1,0.1111,0.8919,59.8,75.98,33.34,0.8667,1,CRITICAL
AC-1090,Solstice Labs,Manufacturing,Mid-Market,1-Year Fixed,Credit Card,66,1373.96,87051.04,68,61,1,0,10,0,70.5,0,5,0,0,0,0.0149,0.8971,22.52,82.3,97.94,0.0219,0,LOW
AC-1091,Synergy Networks,E-Commerce,Enterprise,2-Year Fixed,Auto-Invoice,52,1825.17,98946.14,431,315,3,1,8,22,68.8,0,5,1,1,0,0.0566,0.7309,5.79,73.28,35.62,0.1253,0,LOW
AC-1092,Zenith Cloud,Logistics,Enterprise,Month-to-Month,Auto-Invoice,22,3999.63,88506.35,173,164,4,0,10,3,56.3,1,5,1,1,1,0.1739,0.948,24.39,73.78,109.46,0.6068,1,HIGH
AC-1093,Zenith Corp,Enterprise Tech,Enterprise,Month-to-Month,Credit Card,4,2237.64,8726.98,463,301,5,3,7,18,44.0,0,5,1,1,1,1.0,0.6501,7.43,54.4,12.0,0.8355,1,CRITICAL
AC-1094,Zenith Networks,Healthcare,SMB,2-Year Fixed,Credit Card,6,240.53,1400.79,6,6,1,0,7,3,98.5,1,0,0,0,0,0.1429,1.0,40.09,87.1,86.5,0.0548,0,LOW
AC-1095,Aegis Global,Enterprise Tech,Enterprise,Month-to-Month,Credit Card,38,4131.81,151292.84,327,202,1,1,6,4,79.3,1,0,1,0,0,0.0256,0.6177,20.45,71.58,59.35,0.1591,0,LOW
AC-1096,Hyperion Data,Enterprise Tech,Mid-Market,1-Year Fixed,ACH Direct Debit,26,1274.93,32898.37,58,29,5,1,7,10,86.1,1,0,1,1,1,0.1852,0.5,43.96,79.66,56.0,0.1832,0,LOW
AC-1097,Vortex Logistics,E-Commerce,Enterprise,Month-to-Month,Auto-Invoice,11,3562.98,37764.36,430,405,3,3,8,7,66.5,1,0,1,1,1,0.25,0.9419,8.8,71.9,57.34,0.7147,1,HIGH
AC-1098,Zenith Health,Professional Services,Mid-Market,1-Year Fixed,Credit Card,17,803.16,13538.78,73,42,8,0,8,5,65.0,1,0,1,1,0,0.4444,0.5753,19.12,71.0,83.01,0.0311,0,LOW
AC-1099,Omni Technologies,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,31,1288.91,38552.83,52,34,3,0,7,3,76.8,1,0,1,1,0,0.0938,0.6538,37.91,74.08,79.58,0.0383,0,LOW
AC-1100,Crest Data,Financial Services,SMB,Month-to-Month,Credit Card,35,223.49,7944.81,15,8,5,3,6,9,35.0,1,0,1,1,1,0.1389,0.5333,27.94,45.0,30.17,0.836,1,CRITICAL
AC-1101,Crest Data,Logistics,SMB,1-Year Fixed,ACH Direct Debit,16,761.58,12532.86,6,5,2,1,5,18,47.9,1,10,1,0,0,0.1176,0.8333,152.32,48.74,34.67,0.1769,0,LOW
AC-1102,Starlight Cloud,Enterprise Tech,Mid-Market,Month-to-Month,Credit Card,18,662.27,11979.9,56,56,5,1,6,0,53.6,1,15,1,1,1,0.2632,1.0,11.83,56.16,73.0,0.6875,1,HIGH
AC-1103,Titan Networks,Healthcare,SMB,1-Year Fixed,Manual Wire,62,604.41,38148.15,8,3,5,1,10,5,59.8,1,5,0,0,0,0.0794,0.375,201.47,75.88,85.0,0.0322,0,LOW
AC-1104,Crest Health,E-Commerce,SMB,Month-to-Month,Auto-Invoice,27,280.04,7892.54,13,12,3,1,10,12,52.2,1,5,1,1,0,0.1071,0.9231,23.34,71.32,85.46,0.0566,0,LOW
AC-1105,Synergy Systems,E-Commerce,SMB,Month-to-Month,Credit Card,35,727.94,25830.44,21,6,4,0,7,6,74.0,1,15,1,1,0,0.1111,0.2857,121.32,72.4,67.71,0.0561,0,LOW
AC-1106,Apex Health,Enterprise Tech,SMB,Month-to-Month,Auto-Invoice,45,506.43,22479.78,21,12,4,1,5,9,69.5,1,10,1,1,0,0.087,0.5714,42.2,61.7,42.93,0.0561,0,LOW
AC-1107,Aegis Health,Financial Services,Enterprise,Month-to-Month,Credit Card,35,2123.27,73939.01,167,70,4,1,7,13,93.1,1,0,1,0,0,0.1111,0.4192,30.33,83.86,49.88,0.0804,0,LOW
AC-1108,Starlight Health,Logistics,Mid-Market,3-Year Enterprise,ACH Direct Debit,28,844.58,24500.82,19,16,8,1,10,8,100.0,1,10,1,1,0,0.2759,0.8421,52.79,100.0,89.84,0.0127,0,LOW
AC-1109,Nexus Networks,Healthcare,Enterprise,Month-to-Month,Credit Card,9,3263.47,28286.61,497,167,4,0,9,7,45.3,1,5,1,0,0,0.4,0.336,19.54,63.18,83.22,0.3034,0,MEDIUM
AC-1110,Hyperion Capital,Enterprise Tech,Enterprise,1-Year Fixed,ACH Direct Debit,15,4247.61,62603.85,231,159,2,1,8,20,70.7,1,10,1,0,1,0.125,0.6883,26.71,74.42,52.77,0.7633,1,HIGH
AC-1111,Aegis Health,Logistics,SMB,Month-to-Month,Auto-Invoice,21,590.35,12493.16,19,10,1,0,9,12,70.6,1,25,1,1,1,0.0455,0.5263,59.03,78.36,79.53,0.5931,1,MEDIUM
AC-1112,Solstice Labs,Enterprise Tech,Mid-Market,Month-to-Month,ACH Direct Debit,52,1049.89,55557.27,32,13,2,1,10,10,67.7,1,5,1,1,0,0.0377,0.4062,80.76,80.62,78.12,0.0462,0,LOW
AC-1113,Apex Global,E-Commerce,Mid-Market,3-Year Enterprise,Auto-Invoice,35,1614.45,57994.67,20,17,0,0,5,0,48.5,0,20,1,1,0,0.0,0.85,94.97,49.1,57.0,0.0628,0,LOW
AC-1114,Titan Data,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,51,204.68,10248.91,19,9,4,2,6,1,51.5,0,5,1,1,1,0.0769,0.4737,22.74,54.9,35.97,0.8688,1,CRITICAL
AC-1115,Quantum Cloud,Professional Services,SMB,3-Year Enterprise,Auto-Invoice,55,616.21,32691.31,13,6,4,1,6,5,72.3,1,5,1,0,0,0.0714,0.4615,102.7,67.38,54.73,0.0517,0,LOW
AC-1116,Hyperion Capital,Financial Services,SMB,Month-to-Month,Auto-Invoice,44,393.6,18106.11,9,4,3,0,8,7,51.0,0,5,0,0,1,0.0667,0.4444,98.4,62.6,62.39,0.7966,1,HIGH
AC-1117,Acme Corp,Financial Services,Enterprise,2-Year Fixed,Credit Card,65,2677.89,166689.41,213,151,6,0,8,2,70.9,1,15,0,0,0,0.0909,0.7089,17.73,74.54,90.18,0.0498,0,LOW
AC-1118,Apex Systems,Enterprise Tech,Enterprise,1-Year Fixed,Manual Wire,25,4765.42,114320.11,410,312,2,1,9,0,63.6,0,0,1,1,0,0.0769,0.761,15.27,74.16,77.22,0.1765,0,LOW
AC-1119,Titan Corp,Financial Services,Mid-Market,2-Year Fixed,Auto-Invoice,47,663.08,31149.0,76,24,3,0,6,2,70.5,0,10,0,0,0,0.0625,0.3158,27.63,66.3,51.32,0.0248,0,LOW
AC-1120,Crest Networks,Manufacturing,Enterprise,1-Year Fixed,Auto-Invoice,56,2340.85,135272.85,168,79,2,2,10,9,50.8,1,15,0,1,0,0.0351,0.4702,29.63,70.48,70.9,0.1108,0,LOW
